cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12250,TS_12250,PT1,5.25,7.75,0,0,0,0,7.5,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_12251,TS_12251,PT1,5,0,0,0,9.25,0,8,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12252,TS_12252,PT1,6.85,6.35,0,0,0,0,7.25,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_12253,TS_12253,PT1,6.75,7,5.75,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12254,TS_12254,PT1,4.25,0,0,0,6.25,0,7.75,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_12255,TS_12255,PT1,4.75,0,5.25,0,0,0,7.25,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_12256,TS_12256,PT1,4.25,0,0,0,8.25,9.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12257,TS_12257,PT1,7,5.45,0,0,0,0,8,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_12258,TS_12258,PT1,4.25,0,0,0,0,7.25,6.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_12259,TS_12259,PT1,7.5,8.75,0,0,0,0,5.25,9.25,9.25,0,0,0,0,0,0,0,0,0,0,0
TS_12260,TS_12260,PT1,5,0,0,0,8.75,10,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12261,TS_12261,PT1,9,10,9.5,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12262,TS_12262,PT1,8.5,9.5,0,0,0,0,7,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_12263,TS_12263,PT1,5.5,9,5.25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12264,TS_12264,PT1,5,7.1,0,0,0,0,7.75,3,3,0,0,0,0,0,0,0,0,0,0,0
TS_12265,TS_12265,PT1,5,0,0,0,7.5,0,6,0,0,0,0,0,8.75,0,0,0,0,0,0,0
